_id,ltable_Length_ft,ltable_make_model,ltable_seller,ltable_location,ltable_year,ltable_price_US,ltable_hull_material,rtable_Length_ft,rtable_make_model,rtable_seller,rtable_location,rtable_year,rtable_price_US,rtable_hull_material
49206,35,Formula.350 Crossover Bowrider,"IMG of Tampa Bay, Inc","St. Petersburg, Florida",2016,Request Price,Fiberglass,35,Formula 350 Crossover Bowrider,"IMG of Tampa Bay, Inc
   ","St. Petersburg, FL",2016,Call for Price,Fiberglass
49337,35,Formula.350 Crossover Bow Rider,Comstock Yacht Sales & Marina,"Brick, New Jersey",2016,259000,Fiberglass,35,Formula 350 Crossover Bow Rider,"Comstock Yacht Sales & Marina
   ","Brick, NJ",2016,259000,Fiberglass
49398,35,Formula.350 CBR FX6,Gulf Coast Boat Sales,"Naples, Florida",2014,254900,Fiberglass,35,Formula 350 CBR FX6,"Gulf Coast Boat Sales & Yacht Management
   ","Naples, FL",2014,254900,Fiberglass
49613,35,Four Winns.H350,Westchester Yacht Sales,"Mamaroneck, New York",2016,Request Price,Fiberglass,35,Four Winns H350,"Westchester Yacht Sales
   ","Mamaroneck, NY",2016,Call for Price,Fiberglass
49664,35,Four Winns.H350,Mar Azul Marine Group,"Miami, Florida",2016,199000,Fiberglass,35,Four Winns H350,"Mar Azul Marine Group
   ","Miami, FL",2016,199000,Fiberglass
49860,35,Four Winns.H350,Boater's Landing,"Ft.Myers, Florida",2017,Request Price,Fiberglass,35,Four Winns H350,"Boater's Landing
   ","Ft.Myers, FL",2017,Call for Price,Fiberglass
49973,35,Formula.350 Sun Sport,Gulf Coast Boat Sales,"Cape Coral, Florida",2013,225000,Fiberglass,35,Formula 350 Sun Sport,"Gulf Coast Boat Sales & Yacht Management
   ","Cape Coral, FL",2013,225000,Fiberglass
50040,35,Formula.350 Crossover Bowrider,Formula Boats of Missouri,"Osage Beach, Missouri",2013,249995,Fiberglass,35,Formula 350 Crossover Bowrider,"Formula Boats of Missouri
   ","Osage Beach, MO",2013,249995,Fiberglass
50095,35,Formula.350 Bow Rider,Formula Boats of Missouri,"Osage Beach, Missouri",2013,229900,Fiberglass,35,Formula 350 Bow Rider,"Formula Boats of Missouri
   ","Osage Beach, MO",2013,229900,Fiberglass
50201,35,Sea Ray.SLX 350,MarineMax Ft. Myers,"Ft. Myers, Florida",2017,Request Price,Fiberglass,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Ft. Myers, FL",2017,Call for Price,Fiberglass
50271,35,Sea Ray.SLX 350,MarineMax Lake Ozark,"Lake Ozark, Missouri",2017,Request Price,Fiberglass,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Lake Ozark, MO",2017,Call for Price,Fiberglass
50330,35,Sea Ray.SLX 350,MarineMax Dallas,"Lewisville, Texas",2017,Request Price,Fiberglass,35,Sea Ray SLX 350,"MarineMax Inc.
   ","Lewisville, TX",2017,Call for Price,Fiberglass
