index,used,power,price_US,year,class,hull_material,seller,Length_ft,location,make_model,
3958,yes,yes,Request Price,2016,Bowrider,Fiberglass,Walker's Yacht Sales,23,"Fort Myers, Florida",Pursuit.235 Dual Console,
3959,yes,yes,29900,2013,Bowrider,Aluminum,Heartland Marine,23,"Sunrise Beach, Missouri",Playcraft.2285 Hampton,
3960,yes,yes,27900,2008,Bowrider,Fiberglass,Hossack Marine Sales Inc,23,"ST CLAIR SHORES, Michigan",Yamaha.230,
3961,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tobler Marina,23,"Hayden, Idaho",Nautique.G23,
3962,yes,yes,Request Price,2016,Bowrider,Fiberglass,Tobler Marina,23,"Hayden, Idaho",Nautique.G23,
3963,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lake Cumberland Marine,23,"Somerset, Kentucky",Nautique.G23,
3964,yes,yes,Request Price,2017,Bowrider,Fiberglass,Lake Cumberland Marine,23,"Somerset, Kentucky",Nautique.G23,
3965,yes,yes,Request Price,2017,Bowrider,Fiberglass,Newport Beach,23,"Newport Beach, California",Nautique.G21,
3966,yes,yes,Request Price,2016,Bowrider,Fiberglass,Irish Boat Shop - Harbor Springs,23,"Northern, Michigan",Nautique.Super Air Nautique G23,
3967,yes,yes,74900,2015,Bowrider,Fiberglass,MarineMax Venice,23,"Venice, Florida",Pursuit.235 Dual Console,
3968,yes,yes,87500,2015,Bowrider,Fiberglass,Race City Marine,23,"Mooresville, North Carolina",Nautique.Super Air 230,
3969,yes,yes,84900,2015,Bowrider,Fiberglass,Race City Marine,23,"Mooresville, North Carolina",Nautique.Super Air 230,
3970,yes,yes,109900,2014,Bowrider,Fiberglass,Race City Marine,23,"Mooresville, North Carolina",Nautique.Super Air G23,
3971,yes,yes,41999,2014,Bowrider,Fiberglass,Skiers Pier,23,"Waterford, Michigan",Sea Ray.220 Sundeck,
3972,yes,yes,18900,2005,Bowrider,Fiberglass,"Stone Harbor Yacht Sales - Stone Harbor, NJ",23,United States,Sea Ray.220 Select,
3973,yes,yes,21900,2005,Bowrider,Fiberglass,"E & R Boats, Inc.",23,"Oklahoma City, Oklahoma",Sea Ray.220 Select,
3974,yes,yes,19499,2006,Bowrider,Fiberglass,POP Yachts,23,"Plymouth, Massachusetts",Sea Ray.220 Select,
3975,yes,yes,23500,2006,Bowrider,Fiberglass,DFWBoats.com,23,"Lewisville, Texas",Sea Ray.220 SEL w/Tower  26RB,
3976,yes,yes,22499,2006,Bowrider,Fiberglass,POP Yachts,23,"Cape Coral, Florida",Sea Ray.220 Select,
3977,yes,yes,27700,2006,Bowrider,Fiberglass,POP Yachts,23,"Charlotte, North Carolina",Sea Ray.220 Select,
3978,yes,yes,27000,2006,Bowrider,Fiberglass,North Shore Boat Brokerage Inc.,23,United States,Sea Ray.220 Select,
3979,yes,yes,22500,2006,Bowrider,Fiberglass,POP Yachts,23,"Gainesville, Georgia",Sea Ray.220 Select,
3980,yes,yes,28995,2005,Bowrider,Fiberglass,Lakecrest Marine Sales,23,"New Baltimore, Michigan",Sea Ray.220 Select,
3981,yes,yes,19900,2006,Bowrider,Fiberglass,Ontario,23,"Ontario, California",Sea Ray.220 Select,
3982,yes,yes,35800,2008,Bowrider,Fiberglass,POP Yachts,23,"Naples, Florida",Sea Ray.220 Sundeck,
3983,yes,yes,34995,2008,Bowrider,Fiberglass,Port Harbor Marine,23,"South Portland, Maine",Sea Ray.23' SELECT,
3984,yes,yes,15995,2002,Bowrider,Fiberglass,Wholesale Marine,23,"Tampa, Florida",Sea Ray.220 Bow Rider,
3985,yes,yes,22900,2004,Bowrider,Fiberglass,C & C Boat Works,23,"Crosslake, Minnesota",Sea Ray.220 Select,
3986,yes,yes,22500,2005,Bowrider,Fiberglass,POP Yachts,23,"Jacksonville, Florida",Sea Ray.220 SELECT BOWRIDER,
3987,yes,yes,Request Price,1987,Bowrider,Fiberglass,Wedowee Marine,23,"Wedowee, Alabama",Sea Ray.23,
3988,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Brick,23,"Brick, New Jersey",Sea Ray.SLX 230,
3989,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Dallas,23,"Lewisville, Texas",Sea Ray.SLX 230,
3990,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Branson,23,"Branson, Missouri",Sea Ray.SLX 230,
3991,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Buford,23,"Buford, Georgia",Sea Ray.SLX 230,
3992,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Somers Point,23,"Somers Point, New Jersey",Sea Ray.SLX 230,
3993,yes,yes,Request Price,2017,Bowrider,Fiberglass,MarineMax Lake Hopatcong,23,"Lake Hopatcong, New Jersey",Sea Ray.SLX 230,
