index,used,power,price_US$,year,class,hull_material,seller,Length_ft,location,Make_Model
3490,yes,yes,22900,2012,Bowrider,Fiberglass,"Hall Marine Group
   ",20,United States,Stingray 195 LS/LX
3491,yes,yes,1,2016,Bowrider,Fiberglass,"Hyannis Marina
   ",20,"Buzzards Bay, MA",Sea Ray 19 SPX OB
3492,yes,yes,1,2017,Bowrider,Fiberglass,"Modern Yachts
   ",20,"Mattituck, NY",Sea Ray 19 SPX OB
3493,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Irish Boat Shop
   ",20,"Northern, MI",Sea Ray 19 SPX OB
3494,yes,yes,45065,2016,Bowrider,Fiberglass,"Marina Marbella Group
   ",20,"Poole, Dorset, United Kingdom",Sea Ray 19 SPX OB
3495,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Nunmaker Yachts
   ",20,"Madisonville, LA",Sea Ray 19 SPX
3496,yes,yes,21226,2016,Bowrider,Fiberglass,"Laivu Depo
   ",19,Latvia,Sea Ray 19 SPX OB
3497,yes,yes,42940,2015,Bowrider,Fiberglass,"Idealboat Sales
   ",19,United Kingdom,Chaparral 19 H2O Sport
3498,yes,yes,32640,2017,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",19,"Edgewater, MD",Chaparral 19 H2O Sport
3499,yes,yes,34150,2017,Bowrider,Fiberglass,"Sunrise Marine - Boat Sales, Service & Parts
   ",19,"Mary Esther, FL",Chaparral H20 19 Sport Bowrider
3500,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Saba Marine
   ",19,"Colchester, VT",Chaparral 19 H2O Sport
3501,yes,yes,31500,2015,Bowrider,Fiberglass,"Bridge Marine Sales
   ",19,United States,Bryant Sportabout
3502,yes,yes,21995,2013,Bowrider,Fiberglass,"Erwin Marine
   ",19,"Grant, AL",Tahoe Q5i
3503,yes,yes,22704,2009,Bowrider,Fiberglass,"Ensign Ship Brokers
   ",19,"stateprovince.VIC, Australia",Tahoe Q5i
3504,yes,yes,33210,2016,Bowrider,Fiberglass,"Power Boats Poland
   ",19,Poland,Sea Ray 19 SPXE
3505,yes,yes,32580,2017,Bowrider,Fiberglass,"Waterfront Marine Yacht Sales-New Jersey
   ",19,"SOMERS POINT, NJ",Chaparral 19 H2O Sport
3506,yes,yes,14995,2009,Bowrider,Fiberglass,"Basa's Marine
   ",19,"Bolingbrook, IL",Tahoe Q4
3507,yes,yes,19900,2013,Bowrider,Fiberglass,"Hilton Head Boat House
   ",19,"SC, United States",Stingray 191 RX
3508,yes,yes,12200,2008,Bowrider,Fiberglass,"Boat Max USA
   ",19,"Oviedo, FL",Mariah SX19
3509,yes,yes,32976,2015,Bowrider,Fiberglass,"Idealboat Sales
   ",19,"Pwllheli, Gwynedd, United Kingdom",Chaparral 19 H2O
3510,yes,yes,61000,2014,Bowrider,Fiberglass,"Power Boats Poland
   ",19,Poland,Cobalt 200 S
3511,yes,yes,24995,2009,Bowrider,Fiberglass,"Keenan Marina
   ",19,"SPRING LAKE, MI",Glastron GLS 195
3512,yes,yes,39900,2013,Bowrider,Fiberglass,"Strong's Marine
   ",19,"Mattituck, NY",Cobalt 200
3513,yes,yes,,2016,Bowrider,Fiberglass,"Fay's Boat Yard, Inc.
   ",19,"Gilford, NH",Chaparral 19 H2O Sport
3514,yes,yes,31320,2017,Bowrider,Fiberglass,"A & S Boats
   ",19,United States,Chaparral 19 H2O Sport
3515,yes,yes,Call for Price,2016,Bowrider,Fiberglass,"Jet Ski of Miami
   ",19,"Miami, FL",Yamaha Marine SX192
3516,yes,yes,26000,2012,Bowrider,Fiberglass,"Pier 33
   ",19,"St. Joseph, MI",Chaparral 19 Sport H2O
3517,yes,yes,,2016,Bowrider,Aluminum,"Marina Port Lewis
   ",19,"Saint-Anicet, QC",Princecraft Ventura 190
3518,yes,yes,21001,2008,Bowrider,Fiberglass,"PROBRAVA
   ",19,"Badalona, Spain",Rinker 192 Captiva
3519,yes,yes,32144,2016,Bowrider,Aluminum,"Marina Port Lewis
   ",19,"Saint-Anicet, QC",Princecraft Ventura 194
3520,yes,yes,,2016,Bowrider,Aluminum,"Marina Port Lewis
   ",19,"Saint-Anicet, QC",Princecraft Ventura 192
3521,yes,yes,27995,2013,Bowrider,Fiberglass,"Boulder Boats
   ",19,"Henderson, NV",Yamaha AR190
3522,yes,yes,28495,2014,Bowrider,Fiberglass,"Boulder Boats
   ",19,"Henderson, NV",Yamaha SX192
3523,yes,yes,8999,2002,Bowrider,Fiberglass,"Yarmouth Boat Yard, Inc.
   ",19,"Naples, ME",Larson 190 SEI
3524,yes,yes,12240,1994,Bowrider,Fiberglass,"South Pier Marine
   ",19,Jersey,Grady-White 192 Tournament
3525,yes,yes,13816,2005,Bowrider,Fiberglass,"Bluewater Algarve
   ",19,"Portiṃo, Portugal",Rinker Captiva 192
3526,yes,yes,7995,1996,Bowrider,Fiberglass,"USA Marine
   ",19,"Worcester, MA",Rinker Captiva 192
3527,yes,yes,18500,2014,Bowrider,Fiberglass,"East Shore Marine
   ",19,"Lindenhurst, NY",Bayliner 1900 Deck Boat
3528,yes,yes,22500,2011,Bowrider,Fiberglass,"MarineMax Inc.
   ",19,"Seabrook, TX",Bayliner 192
3529,yes,yes,18900,2007,Bowrider,Fiberglass,"Great Southern Yacht Company
   ",19,"Pensacola , FL",Bayliner 190 Deck Boat
3530,yes,yes,Call for Price,2014,Bowrider,Fiberglass,"Pennybridge Marine
   ",19,"Stony Point, NY",Bayliner 190 Bowrider
3531,yes,yes,3995,1991,Bowrider,Fiberglass,"Brian's Marina
   ",19,United States,Bayliner 19' Capri Bowrider
3532,yes,yes,14595,2007,Bowrider,Fiberglass,"Nunmaker Yachts
   ",19,"Madisonville, United States",2007 Regal 19' sport boat
3533,yes,yes,2000,1986,Bowrider,Fiberglass,"Fox Chapel Marine
   ",19,"PITTSBURGH, PA",Bayliner 19 CAPRI
3534,yes,yes,20448,2007,Bowrider,Fiberglass,"Sealine Costa Blanca
   ",19,"Campoamor, Spain",Baja 192 Islander
3535,yes,yes,14900,2008,Bowrider,Fiberglass,"Clarks Landing Marina-Point Pleasant Beach, NJ
   ",19,"Delran, NJ",Bayliner 195 Discovery
3536,yes,yes,13995,2006,Bowrider,Fiberglass,"Port Harbor Marine
   ",19,"Raymon, ME",Bayliner 19' BR
3537,yes,yes,15000,2007,Bowrider,Fiberglass,"Robert Heay's Port Orchard Yacht Sales, Inc
   ",19,"Port Orchard, WA",Bayliner 195 Bowrider
3538,yes,yes,16900,2007,Bowrider,Fiberglass,"Rogue Motion
   ",19,"Charleston, SC",Bayliner 195
3539,yes,yes,14900,2008,Bowrider,Fiberglass,"Clarks Landing Marina-Point Pleasant Beach, NJ
   ",19,"Delran, NJ",Bayliner 195 Discovery
3540,yes,yes,18995,2008,Bowrider,Fiberglass,"Onekama Marine, Inc.
   ",19,"Onekama, MI",Bayliner 195 Bowrider
3541,yes,yes,22900,2012,Bowrider,Fiberglass,"Dredge Harbor Boat Center LLC.
   ",19,"Delran, NJ",Bayliner 195 Bowrider
